radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    4641.387,    1729.613,       4.938,      12.698,       6.819,57823, 1702,  490.105768,  229.624901,   73.039291,    2365.547
    4651.392,    1719.608,       4.933,      12.685,       6.814,57823, 1649,  488.356652,  229.032401,   72.548914,    2362.414
    4661.396,    1709.604,       4.928,      12.671,       6.809,57823, 1597,  486.611264,  228.437714,   72.057487,    2359.273
    4671.401,    1699.599,       4.923,      12.657,       6.803,57823, 1546,  484.870650,  227.840433,   71.565811,    2356.124
    4681.406,    1689.594,       4.918,      12.643,       6.798,57823, 1496,  483.135778,  227.240468,   71.079307,    2352.969
    4691.411,    1679.589,       4.913,      12.630,       6.792,57823, 1447,  481.407050,  226.637684,   70.590448,    2349.808
    4701.415,    1669.585,       4.907,      12.616,       6.787,57823, 1397,  479.684793,  226.032148,   70.102707,    2346.640
    4711.420,    1659.580,       4.902,      12.602,       6.781,57823, 1348,  477.968474,  225.424002,   69.610506,    2343.466
    4721.425,    1649.575,       4.897,      12.588,       6.776,57823, 1299,  476.257678,  224.813783,   69.124419,    2340.286
    4731.430,    1639.570,       4.892,      12.574,       6.770,57823, 1250,  474.551413,  224.202214,   68.638018,    2337.100
