radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    3306.269,    3064.731,      10.178,       8.083,       0.000,57823,   -0,  665.028066,    0.000000,  153.552262,       0.000
    3364.180,    3006.820,      10.094,       8.006,       0.000,57823,   -0,  646.989060,    0.000000,  147.458105,       0.000
    3422.090,    2948.910,      10.010,       7.928,       0.000,57823,   -0,  629.211280,    0.000000,  141.299823,       0.000
    3480.000,    2891.000,       9.925,       7.850,       0.000,57823,   -0,  611.694107,    0.000000,  135.135851,       0.000
    3480.000,    2891.000,       5.542,      13.787,       7.417,57823, 8000,  646.937186,  304.852661,  135.132027,    2514.333
    3485.014,    2885.986,       5.539,      13.781,       7.414,57823, 7906,  646.008768,  304.489276,  134.834963,    2512.798
    3490.029,    2880.971,       5.537,      13.775,       7.411,57823, 7814,  645.080600,  304.126592,  134.539894,    2511.263
    3495.043,    2875.957,       5.534,      13.769,       7.409,57823, 7722,  644.153129,  303.764706,  134.241184,    2509.729
    3500.057,    2870.943,       5.532,      13.763,       7.406,57823, 7630,  643.226274,  303.403463,  133.943793,    2508.194
    3505.071,    2865.929,       5.529,      13.757,       7.403,57823, 7540,  642.300136,  303.042770,  133.643251,    2506.659
    3510.086,    2860.914,       5.526,      13.751,       7.401,57823, 7450,  641.374592,  302.682466,  133.345367,    2505.124
    3515.100,    2855.900,       5.524,      13.745,       7.398,57823, 7361,  640.449930,  302.322680,  133.042365,    2503.589
    3520.114,    2850.886,       5.521,      13.739,       7.395,57823, 7273,  639.524658,  301.964438,  132.744936,    2502.055
    3525.129,    2845.871,       5.519,      13.733,       7.393,57823, 7186,  638.590131,  301.611650,  132.447464,    2500.520
    3530.143,    2840.857,       5.516,      13.726,       7.390,57823, 7099,  637.645206,  301.261014,  132.157135,    2498.985
    3535.157,    2835.843,       5.514,      13.720,       7.388,57823, 7013,  636.687014,  300.912064,  131.859082,    2497.451
    3540.171,    2830.829,       5.511,      13.714,       7.385,57823, 6928,  635.716009,  300.564445,  131.562588,    2495.916
    3545.186,    2825.814,       5.509,      13.708,       7.382,57823, 6843,  634.733509,  300.217821,  131.265779,    2494.381
    3550.200,    2820.800,       5.506,      13.701,       7.380,57823, 6759,  633.741429,  299.872224,  130.971502,    2492.846
    3555.214,    2815.786,       5.503,      13.695,       7.377,57823, 6676,  632.741316,  299.527734,  130.676538,    2491.311
    3560.229,    2810.771,       5.501,      13.688,       7.375,57823, 6594,  631.734394,  299.184658,  130.380911,    2489.776
    3565.243,    2805.757,       5.498,      13.682,       7.372,57823, 6512,  630.721729,  298.843414,  130.085126,    2488.241
    3570.257,    2800.743,       5.496,      13.675,       7.370,57823, 6431,  629.705002,  298.504004,  129.792316,    2486.707
    3575.271,    2795.729,       5.493,      13.668,       7.368,57823, 6350,  628.688026,  298.166564,  129.496324,    2485.172
    3580.286,    2790.714,       5.490,      13.662,       7.365,57823, 6271,  627.672986,  297.831280,  129.201828,    2483.636
    3585.300,    2785.700,       5.488,      13.655,       7.363,57823, 6192,  626.660033,  297.498195,  128.907650,    2482.101
    3590.314,    2780.686,       5.485,      13.649,       7.360,57823, 6114,  625.659745,  297.158337,  128.612788,    2480.566
    3595.329,    2775.671,       5.483,      13.642,       7.357,57823, 6036,  624.698251,  296.791317,  128.324779,    2479.030
    3600.343,    2770.657,       5.480,      13.636,       7.354,57823, 5959,  623.750504,  296.415067,  128.030485,    2477.494
    3605.357,    2765.643,       5.478,      13.629,       7.351,57823, 5883,  622.796615,  296.044234,  127.740838,    2475.958
    3610.371,    2760.629,       5.476,      13.622,       7.348,57823, 5808,  621.838697,  295.674100,  127.443605,    2474.421
    3615.386,    2755.614,       5.473,      13.616,       7.345,57823, 5733,  620.874805,  295.305914,  127.148583,    2472.884
    3620.400,    2750.600,       5.471,      13.609,       7.343,57823, 5659,  619.905220,  294.939345,  126.859043,    2471.345
    3625.414,    2745.586,       5.468,      13.602,       7.340,57823, 5585,  618.941818,  294.565737,  126.570134,    2469.704
    3630.429,    2740.571,       5.466,      13.595,       7.336,57823, 5513,  617.994270,  294.179157,  126.278698,    2467.940
    3635.443,    2735.557,       5.463,      13.588,       7.333,57823, 5440,  617.062876,  293.781268,  125.989103,    2466.013
